"ABC",		"2007-1-10",	"Y",	"#VALUE!"
"2007-1-1",	"DEF",		"Y",	"#VALUE!"
"2007-1-1",	"2007-1-10",	"XYZ",	"#VALUE!"
"2007-1-10",	"2007-1-1",	"Y",	"#NUM!"
"2007-12-31",	"2008-1-10",	"Y",	0
"2007-1-1",	"2007-1-10",	"Y",	0
"2007-1-1",	"2007-1-10",	"M",	0
"2007-1-1",	"2007-1-10",	"D",	9
"2007-1-1",	"2007-1-10",	"YM",	0
"2007-1-1",	"2007-1-10",	"YD",	9
"2007-1-1",	"2007-1-10",	"MD",	9
"2007-1-1",	"2007-12-31",	"Y",	0
"2007-1-1",	"2007-12-31",	"M",	11
"2007-1-1",	"2007-12-31",	"D",	364
"2007-1-1",	"2007-12-31",	"YM",	11
"2007-1-1",	"2007-12-31",	"YD",	364
"2007-1-1",	"2007-12-31",	"MD",	30
"2007-1-1",	"2008-7-1",	"Y",	1
"2007-1-1",	"2008-7-1",	"M",	18
"2007-1-1",	"2008-7-1",	"D",	547
"2007-1-1",	"2008-7-1",	"YM",	6
"2007-1-1",	"2008-7-1",	"YD",	181
"2007-1-1",	"2008-7-1",	"MD",	0
"2007-1-1",	"2007-1-31",	"Y",	0
"2007-1-1",	"2007-1-31",	"M",	0
"2007-1-1",	"2007-1-31",	"D",	30
"2007-1-1",	"2007-1-31",	"YM",	0
"2007-1-1",	"2007-1-31",	"YD",	30
"2007-1-1",	"2007-1-31",	"MD",	30
"2007-1-1",	"2007-2-1",	"Y",	0
"2007-1-1",	"2007-2-1",	"M",	1
"2007-1-1",	"2007-2-1",	"D",	31
"2007-1-1",	"2007-2-1",	"YM",	1
"2007-1-1",	"2007-2-1",	"YD",	31
"2007-1-1",	"2007-2-1",	"MD",	0
"2007-1-1",	"2007-2-28",	"Y",	0
"2007-1-1",	"2007-2-28",	"M",	1
"2007-1-1",	"2007-2-28",	"D",	58
"2007-1-1",	"2007-2-28",	"YM",	1
"2007-1-1",	"2007-2-28",	"YD",	58
"2007-1-1",	"2007-2-28",	"MD",	27
"2007-1-31",	"2007-2-1",	"Y",	0
"2007-1-31",	"2007-2-1",	"M",	0
"2007-1-31",	"2007-2-1",	"D",	1
"2007-1-31",	"2007-2-1",	"YM",	0
"2007-1-31",	"2007-2-1",	"YD",	1
"2007-1-31",	"2007-2-1",	"MD",	1
"2007-1-31",	"2007-3-1",	"Y",	0
"2007-1-31",	"2007-3-1",	"M",	1
"2007-1-31",	"2007-3-1",	"D",	29
"2007-1-31",	"2007-3-1",	"YM",	1
"2007-1-31",	"2007-3-1",	"YD",	29
"2007-1-31",	"2007-3-1",	"MD",	-2
"2007-1-31",	"2007-3-31",	"Y",	0
"2007-1-31",	"2007-3-31",	"M",	2
"2007-1-31",	"2007-3-31",	"D",	59
"2007-1-31",	"2007-3-31",	"YM",	2
"2007-1-31",	"2007-3-31",	"YD",	59
"2007-1-31",	"2007-3-31",	"MD",	0
"2008-1-1",	"2008-9-1",	"Y",	0
"2008-1-1",	"2008-9-1",	"M",	8
"2008-1-1",	"2008-9-1",	"D",	244
"2008-1-1",	"2008-9-1",	"YM",	8
"2008-1-1",	"2008-9-1",	"YD",	244
"2008-1-1",	"2008-9-1",	"MD",	0
"2007-2-1",	"2008-4-1",	"Y",	1
"2007-2-1",	"2008-4-1",	"M",	14
"2007-2-1",	"2008-4-1",	"D",	425
"2007-2-1",	"2008-4-1",	"YM",	2
"2007-2-1",	"2008-4-1",	"YD",	59
"2007-2-1",	"2008-4-1",	"MD",	0
"1960-12-19",	"2008-6-28",	"Y",	47
"1960-12-19",	"2008-6-28",	"M",	570
"1960-12-19",	"2008-6-28",	"D",	17358
"1960-12-19",	"2008-6-28",	"YM",	6
"1960-12-19",	"2008-6-28",	"YD",	191
"1960-12-19",	"2008-6-28",	"MD",	9
"1982-12-7",	"2008-6-28",	"Y",	25
"1982-12-7",	"2008-6-28",	"M",	306
"1982-12-7",	"2008-6-28",	"D",	9335
"1982-12-7",	"2008-6-28",	"YM",	6
"1982-12-7",	"2008-6-28",	"YD",	203
"1982-12-7",	"2008-6-28",	"MD",	21
"2007-12-25",	"2010-3-17",	"Y",	2
"2007-12-25",	"2010-3-17",	"M",	26
"2007-12-25",	"2010-3-17",	"D",	813
"2007-12-25",	"2010-3-17",	"YM",	2
"2007-12-25",	"2010-3-17",	"YD",	82
"2007-12-25",	"2010-3-17",	"MD",	20
"19-12-1960",	"26-01-2012"	"Y",	51
"19-12-1960",	"26-01-2012"	"M",	613
"19-12-1960",	"26-01-2012"	"D",	18665
"19-12-1960",	"26-01-2012"	"YM",	1
"19-12-1960",	"26-01-2012"	"YD",	38
"19-12-1960",	"26-01-2012"	"MD",	7
"19-12-1960",	"12-12-2012"	"Y",	50
