"ABC",		"2007-1-10",	FALSE,	"#VALUE!"
"2007-1-1",	"DEF",		TRUE,	"#VALUE!"
"2007-1-1",	"2007-1-10",	"XYZ",	"#VALUE!"
"2007-1-10",	"2007-1-1",	"Y",	"#VALUE!"
"2007-1-1",	"2007-1-10",	FALSE,	9
"2007-1-1",	"2007-1-10",	TRUE,	9
"2007-1-1",	"2007-12-31",	FALSE,	360
"2007-1-1",	"2007-12-31",	TRUE,	359
"2007-1-1",	"2008-7-1",	FALSE,	540	
"2007-1-1",	"2008-7-1",	TRUE,	540	
"2007-1-1",	"2007-1-31",	FALSE,	30	
"2007-1-1",	"2007-1-31",	TRUE,	29	
"2007-1-1",	"2007-2-1",	FALSE,	30	
"2007-1-1",	"2007-2-1",	TRUE,	30	
"2007-1-1",	"2007-2-28",	FALSE,	57	
"2007-1-1",	"2007-2-28",	TRUE,	57	
"2007-1-31",	"2007-2-1",	FALSE,	1	
"2007-1-31",	"2007-2-1",	TRUE,	1	
"2007-1-31",	"2007-3-1",	FALSE,	31	
"2007-1-31",	"2007-3-1",	TRUE,	31	
"2007-1-31",	"2007-3-31",	FALSE,	60	
"2007-1-31",	"2007-3-31",	TRUE,	60	
"2008-1-1",	"2008-9-1",	FALSE,	240	
"2008-1-1",	"2008-9-1",	TRUE,	240	
"2007-2-1",	"2008-4-1",	FALSE,	420	
"2007-2-1",	"2008-4-1",	TRUE,	420	
"1960-12-19",	"2008-6-28",	FALSE,	17109
"1960-12-19",	"2008-6-28",	TRUE,	17109
"1982-12-7",	"2008-6-28",	FALSE,	9201
"1982-12-7",	"2008-6-28",	TRUE,	9201
"2000-2-28",	"2000-3-31",	FALSE,	33
"2000-2-28",	"2000-3-31",	TRUE,	32
"2000-2-29",	"2000-3-31",	FALSE,	30
"2000-2-29",	"2000-3-31",	TRUE,	31
