"12.34+5.67j",	"141.319179436356+32.547610312508j"
"3.5+2.5i",	"-5.74262349163406+2.12231025604134i"
"3.5+i",	"-1.44502817950166+0.412240867891067i"
"3.5",		"-0.936456687290796"
"3.5-i",	"-1.44502817950166-0.412240867891067i"
"3.5-2.5i",	"-5.74262349163406-2.12231025604134i"
"1+2.5i",	"3.31329014611322-5.0910715229497i"
"1+i",		"0.833730025131149-0.988897705762865i"
"1",		"0.54030230586814"
"1-i",		"0.833730025131149+0.988897705762865i"
"1-2.5i",	"3.31329014611322+5.0910715229497i"
"2.5i",		"6.13228947966369"
"i",		"1.54308063481524"
"0",		"1"
"-i",		"1.54308063481524"
"-2.5i",	"6.13228947966369"
"-1+2.5i",	"3.31329014611322+5.0910715229497i"
"-1+i",		"0.833730025131149+0.988897705762865i"
"-1",		"0.54030230586814"
"-1-i",		"0.833730025131149-0.988897705762865i"
"-1-2.5i",	"3.31329014611322-5.0910715229497i"
"-3.5+2.5i",	"-5.74262349163406-2.12231025604134i"
"-3.5+i",	"-1.44502817950166-0.412240867891067i"
"-3.5",		"-0.936456687290796"
"-3.5-i",	"-1.44502817950166+0.412240867891067i"
"-3.5-2.5i",	"-5.74262349163406+2.12231025604134i"
"3",		"-0.989992496600445"
