"12.34+5.67j",		"187004.11273906-131589.323796073j"
"-12.34E-5+6.78E9i",	"1.79747131321615E+308+1.79747131321615E+308i"
"3.5+2.5i",		"-26.5302329126575+19.8186755366902i"
"3.5+i",		"17.8923550531471+27.8656919720394i"
"3.5",			"33.1154519586923"
"3.5-i",		"17.8923550531471-27.8656919720394i"
"3.5-2.5i",		"-26.5302329126575-19.8186755366902i"
"1+2.5i",		"-2.17773413212721+1.62681595415671i"
"1+i",			"1.46869393991589+2.28735528717884i"
"1",			"2.71828182845905"
"1-i",			"1.46869393991589-2.28735528717884i"
"1-2.5i",		"-2.17773413212721-1.62681595415671i"
"2.5i",			"-0.801143615546934+0.598472144103957i"
"i",			"0.54030230586814+0.841470984807897i"
"0",			"1"
"-i",			"0.54030230586814-0.841470984807897i"
"-2.5i",		"-0.801143615546934-0.598472144103957i"
"-1+2.5i",		"-0.294724265585475+0.220165597929638i"
"-1+i",			"0.198766110346413+0.309559875653112i"
"-1",			"0.367879441171442"
"-1-i",			"0.198766110346413-0.309559875653112i"
"-1-2.5i",		"-0.294724265585475-0.220165597929638i"
"-3.5+2.5i",		"-0.0241924409350133+0.0180722928030842i"
"-3.5+i",		"0.016315715894263+0.025410221967i"
"-3.5",			"0.0301973834223185"
"-3.5-i",		"0.016315715894263-0.025410221967i"
"-3.5-2.5i",		"-0.0241924409350133-0.0180722928030842i"
