"12.34+5.67j",		"2.60862008281875+0.430710595550204j"
"-1.234E-5+6.78E9i",	"22.6372429388987+1.5707963267949i"
"3.5+2.5i",		"1.45888536604214+0.620249485982821i"
"3.5+i",			"1.29199877621612+0.278299659005111i"
"3.5",			"1.25276296849537"
"3.5-i",			"1.29199877621612-0.278299659005111i"
"3.5-2.5i",		"1.45888536604214-0.620249485982821i"
"1+2.5i",		"0.990500734433292+1.19028994968253i"
"1+i",			"0.346573590279973+0.785398163397448i"
"1",			"0"
"1-i",			"0.346573590279973-0.785398163397448i"
"1-2.5i",		"0.990500734433292-1.19028994968253i"
"2.5i",			"0.916290731874155+1.5707963267949i"
"i",			"1.5707963267949i"
"0",			"#NUM!"
"-i",			"-1.5707963267949i"
"-2.5i",			"0.916290731874155-1.5707963267949i"
"-1+2.5i",		"0.990500734433292+1.95130270390726i"
"-1+i",			"0.346573590279973+2.35619449019234i"
"-1",			"3.14159265358979i"
"-1-i",			"0.346573590279973-2.35619449019234i"
"-1-2.5i",		"0.990500734433292-1.95130270390726i"
"-3.5+2.5i",		"1.45888536604214+2.52134316760697i"
"-3.5+i",		"1.29199877621612+2.86329299458468i"
"-3.5",			"1.25276296849537+3.14159265358979i"
"-3.5-i",		"1.29199877621612-2.86329299458468i"
"-3.5-2.5i",		"1.45888536604214-2.52134316760697i"
