"12.34+5.67j",	"-32.5483841590412+141.315819535092j"
"3.5+2.5i",	"-2.15110429680353-5.66575444574645i"
"3.5+i",	"-0.541286805665839-1.10052501669986i"
"3.5",		"-0.35078322768962"
"3.5-i",	"-0.541286805665839+1.10052501669986i"
"3.5-2.5i",	"-2.15110429680353+5.66575444574645i"
"1+2.5i",	"5.16014366757971+3.26893943207955i"
"1+i",		"1.29845758141598+0.634963914784736i"
"1",		"0.841470984807897"
"1-i",		"1.29845758141598-0.634963914784736i"
"1-2.5i",	"5.16014366757971-3.26893943207955i"
"2.5i",		"6.05020448103979i"
"i",		"1.1752011936438i"
"0",		"0"
"-i",		"-1.1752011936438i"
"-2.5i",	"-6.05020448103979i"
"-1+2.5i",	"-5.16014366757971+3.26893943207955i"
"-1+i",		"-1.29845758141598+0.634963914784736i"
"-1",		"-0.841470984807897"
"-1-i",		"-1.29845758141598-0.634963914784736i"
"-1-2.5i",	"-5.16014366757971-3.26893943207955i"
"-3.5+2.5i",	"2.15110429680353-5.66575444574645i"
"-3.5+i",	"0.541286805665839-1.10052501669986i"
"-3.5",		"0.35078322768962"
"-3.5-i",	"0.541286805665839+1.10052501669986i"
"-3.5-2.5i",	"2.15110429680353+5.66575444574645i"
"3",		"0.141120008059867"
