"12.34+5.67j",		"3.60002071031685+0.787495469644252j"
"-1.234E-5+6.78E9i",	"58223.7065120385+58223.7065120386i"
"3.5+2.5i",		"1.9749889409211+0.632914936433528i"
"3.5+i",		"1.88945163270197+0.264627043818521i"
"3.5",			"1.87082869338697"
"3.5-i",		"1.88945163270197-0.264627043818521i"
"3.5-2.5i",		"1.9749889409211-0.632914936433528i"
"1+2.5i",		"1.35878298553655+0.919940868634298i"
"1+i",			"1.09868411346781+0.455089860562227i"
"1",			"1"
"1-i",			"1.09868411346781-0.455089860562227i"
"1-2.5i",		"1.35878298553655-0.919940868634298i"
"2.5i",			"1.11803398874989+1.11803398874989i"
"i",			"0.707106781186548+0.707106781186547i"
"0",			"0"
"-i",			"0.707106781186548-0.707106781186547i"
"-2.5i",		"1.11803398874989-1.11803398874989i"
"-1+2.5i",		"0.919940868634298+1.35878298553655i"
"-1+i",			"0.455089860562227+1.09868411346781i"
"-1",			"6.12303176911189E-017+i"
"-1-i",			"0.455089860562227-1.09868411346781i"
"-1-2.5i",		"0.919940868634298-1.35878298553655i"
"-3.5+2.5i",		"0.632914936433528+1.9749889409211i"
"-3.5+i",		"0.264627043818521+1.88945163270197i"
"-3.5",			"1.14551435241745E-016+1.87082869338697i"
"-3.5-i",		"0.264627043818521-1.88945163270197i"
"-3.5-2.5i",		"0.632914936433528-1.9749889409211i"
"9",			"3"
