#cost		salvage		life	period	month	result
2400,		300,		36500,	1,		0.13150684931507
2400,		300,		36500,	2,		0.13149964346031
2400,		300,		36500,	7,		0.13146362010871
2400,		300,		36500,	7,	14,	0.91843145432708
2400,		300,		120,	1,	2,	40.00
2400,		300,		10,	1,	2,	480.00
2400,		300,		10,	2,	1.5,	306.00
2400,		300,		10,	10,		22.12254720000030
10000,		1000,		5,	1,		4000.00
10000,		1000,		5,	2,		2400.00
10000,		1000,		5,	3,		1440.00
10000,		1000,		5,	4,		864.00
10000,		1000,		5,	5,		296.00
-2400,		300,		36500,	1,		"#NUM!"
"ABC",		300,		36500,	1,		"#VALUE!"
