#number	base		result
"ABC",			"#VALUE!"
"123ABC",		"#VALUE!"
1.2345,			0.0914910942679511
-1.5,	-0.75,		"#NUM!"
0,	-0.75,		"#NUM!"
3.75,	-0.75,		"#NUM!"
-1.5,	0,		"#NUM!"
0,	0,		"#NUM!"
3.75,	0,		"#NUM!"
-0.75,	0.75,		"#NUM!"
0,	0.75,		"#NUM!"
0.75,	0.75,		1.0
1.5,	0.75,		-1.4094208396532100
2.25,	0.75,		-2.8188416793064200
3,	0.75,		-3.8188416793064200
3.75,	0.75,		-4.5945019399978900
4.5,	0.75,		-5.2282625189596300
-0.75,	1.5,		"#NUM!"
0,	1.5,		"#NUM!"
0.75,	1.5,		-0.7095112913514550
1.5,	1.5,		1.0
2.25,	1.5,		2.0
3,	1.5,		2.7095112913514500
3.75,	1.5,		3.2598510045646600
4.5,	1.5,		3.7095112913514500
-0.75,	2.25,		"#NUM!"
0,	2.25,		"#NUM!"
0.75,	2.25,		-0.3547556456757270
1.5,	2.25,		0.5
2.25,	2.25,		1.0
3,	2.25,		1.3547556456757300
3.75,	2.25,		1.6299255022823300
4.5,	2.25,		1.8547556456757300
-0.75,	3,		"#NUM!"
0,	3,		"#NUM!"
0.75,	3,		-0.2618595071429150
1.5,	3,		0.3690702464285430
2.25,	3,		0.7381404928570850
3,	3,		1.0
3.75,	3,		1.2031140135750100
4.5,	3,		1.3690702464285400
-0.75,	3.75,		"#NUM!"
0,	3.75,		"#NUM!"
0.75,	3.75,		-0.2176514479827300
1.5,	3.75,		0.3067624865675560
2.25,	3.75,		0.6135249731351110
3,	3.75,		0.8311764211178410
3.75,	3.75,		1.0
4.5,	3.75,		1.1379389076854000
-0.75,	4.5,		"#NUM!"
0,	4.5,		"#NUM!"
0.75,	4.5,		-0.1912681309275550
1.5,	4.5,		0.2695772896908150
2.25,	4.5,		0.5391545793816300
3,	4.5,		0.7304227103091850
3.75,	4.5,		0.8787817986064220
4.5,	4.5,		1.0
64,	2,		6
100,			2
4,	0.5,		-2
500,			2.698970004336
10,			1
8,	2,		3
86,	2.7182818,	4.454347342888
20,			1.301029995664
20,	10,		1.301029995664
20,	25,		0.930676558073
25,	5.1,		1.975690971574
200,	3,		4.822736302150
