{1|2|3;4|5|6;7|8|9},			{-4.50359962737050E+15|9.00719925474099E+15|-4.50359962737050E+15;9.00719925474100E+15|-1.80143985094820E+16|9.00719925474099E+15;-4.50359962737050E+15|9.00719925474099E+15|-4.50359962737050E+15}
{10|20|30;40|50|60;70|80|90},		{7.03687441776639E+13|-1.40737488355328E+14|7.03687441776640E+13;-1.40737488355328E+14|2.81474976710656E+14|-1.40737488355328E+14;7.03687441776641E+13|-1.40737488355328E+14|7.03687441776640E+13}
{8|1|6;3|5|7;4|9|2},			{1.47222222222222E-01|-1.44444444444444E-01|6.38888888888889E-02;-6.11111111111111E-02|2.22222222222222E-02|1.05555555555556E-01;-1.94444444444444E-02|1.88888888888889E-01|-1.02777777777778E-01}
{4|-1;2|0},				{0|0.5;-1|2}
{1|2|1;3|4|-1;0|2|0},			{0.25|0.25|-0.75;0|0|0.5;0.75|-0.25|-0.25}
{1|4|1|1;1|4|0|1;2|3|1|2;3|2|6|4},	{3.2|-4.8|2.8|-1;0.2|0.2|0.2|0;1|-1|0|0;-4|5|-2|1}
{0.2|1;0.35|10.8},			{5.96685082872928|-0.55248618784530;-0.19337016574586|0.11049723756906}
{0.2|1|-0.9;0.35|10.8|4;-3.15|5},	"#VALUE!"
{1|2;3|4},				{-2|1;1.5|-0.5}
{1|2|1;3|4|2;1|1|2},			{-2|1|0;1.33333333333333|-0.33333333333333|-0.33333333333333;0.33333333333333|-0.33333333333333|0.66666666666667}
