367,	"ASCII"			//	ASCII
437,	"CP437"			//	OEM US
737,	"CP737"			//	OEM Greek
775,	"CP775"			//	OEM Baltic
850,	"CP850"			//	OEM Latin I
852,	"CP852"			//	OEM Latin II (Central European)
855,	"CP855"			//	OEM Cyrillic
857,	"CP857"			//	OEM Turkish
858,	"CP858"			//	OEM Multilingual Latin I with Euro
860,	"CP860"			//	OEM Portugese
861,	"CP861"			//	OEM Icelandic
862,	"CP862"			//	OEM Hebrew
863,	"CP863"			//	OEM Canadian (French)
864,	"CP864"			//	OEM Arabic
865,	"CP865"			//	OEM Nordic
866,	"CP866"			//	OEM Cyrillic (Russian)
869,	"CP869"			//	OEM Greek (Modern)
874,	"CP874"			//	ANSI Thai
932,	"CP932"			//	ANSI Japanese Shift-JIS
936,	"CP936"			//	ANSI Chinese Simplified GBK
949,	"CP949"			//	ANSI Korean (Wansung)
950,	"CP950"			//	ANSI Chinese Traditional BIG5
1200,	"UTF-16LE"		//	UTF-16 (BIFF8)
1250,	"CP1250"		//	ANSI Latin II (Central European)
1251,	"CP1251"		//	ANSI Cyrillic
0,	"CP1252"		//	ANSI Latin I (BIFF4-BIFF7)
1252,	"CP1252"		//	ANSI Latin I (BIFF4-BIFF7)
1253,	"CP1253"		//	ANSI Greek
1254,	"CP1254"		//	ANSI Turkish
1255,	"CP1255"		//	ANSI Hebrew
1256,	"CP1256"		//	ANSI Arabic
1257,	"CP1257"		//	ANSI Baltic
1258,	"CP1258"		//	ANSI Vietnamese
1361,	"CP1361"		//	ANSI Korean (Johab)
10000,	"MAC"			//	Apple Roman
10006,	"MACGREEK"		//	Macintosh Greek
10007,	"MACCYRILLIC"		//	Macintosh Cyrillic
10029,	"MACCENTRALEUROPE"	//	Macintosh Central Europe
10079, 	"MACICELAND"		//	Macintosh Icelandic
10081, 	"MACTURKISH"		//	Macintosh Turkish
32768,	"MAC"			//	Apple Roman
65000,	"UTF-7"			//	Unicode (UTF-7)
65001,	"UTF-8"			//	Unicode (UTF-8)
