#Year	Month	Day	Hours	Minutes	Seconds	Result		Comments
1901,	12,	14,				714		//	PHP 32-bit Earliest Date	14-Dec-1901
1903,	12,	31,				1461		//					31-Dec-1903
1904,	1,	1,				1462		//	Excel 1904 Calendar Base Date	01-Jan-1904
1904,	1,	2,				1463		//					02-Jan-1904
1960,	12,	19,				22269		//					19-Dec-1960
1970,	1,	1,				25569		//	PHP Base Date			01-Jan-1970
1982,	12,	7,				30292		//					07-Dec-1982
2008,	6,	12,				39611		//					12-Jun-2008
2038,	1,	19,				50424		//	PHP 32-bit Latest Date		19-Jan-2038
1903,	5,	18,	13,	37,	46,	1234.56789	//					18-May-1903 13:37:46
1933,	10,	18,	16,	17,	37,	12345.6789	//					18-Oct-1933 16:17:37
